OBJECT_ID,RA,DEC,TESS_mag_0,TESS_mag_err_0,DATE-OBS_TESS_mag_0
239112825213277824,47.083758152861215,40.98368748699548,4.068266,0.00034389502,2022-11-23T23:59:21.340
239112825213278080,47.09008073787302,40.98251410909598,4.068266,0.00034389502,2022-11-23T23:59:21.340
239112825213278464,47.0931776669607,40.976568921002055,3.9350842,0.00031472538,2022-11-23T23:59:21.340
239112855281704448,47.10167103789221,40.97847674931758,4.549771,0.00048126337,2022-11-23T23:59:21.340
239112859573016960,47.11144403502921,40.97953174783951,3.640632,0.00026040059,2022-11-23T23:59:21.340
239112859573017216,47.10819058812658,40.97618020692369,4.5639698,0.0004862366,2022-11-23T23:59:21.340
239112859573822848,47.113243899617885,40.983156625211954,3.640632,0.00026040059,2022-11-23T23:59:21.340
239112859573822976,47.10659249834988,40.97610519086372,4.5639698,0.0004862366,2022-11-23T23:59:21.340
239112859573823232,47.10987792917847,40.971430216117184,4.6237264,0.00050785245,2022-11-23T23:59:21.340
239112893931557504,47.11291303643241,40.99273844157925,3.3266508,0.0002147616,2022-11-23T23:59:21.340
239112893932754432,47.12024783202366,40.99358444383376,3.2708121,0.00020772372,2022-11-23T23:59:21.340
239112893933560576,47.12192796275007,40.99933214574067,3.2708121,0.00020772372,2022-11-23T23:59:21.340
239112893933560704,47.12063020281757,40.9975083575288,3.2708121,0.00020772372,2022-11-23T23:59:21.340
239112893933560832,47.115312104010314,40.991021509158685,3.3507393,0.00021788949,2022-11-23T23:59:21.340
239112924001181056,47.10119625138986,40.99120658625922,4.6433353,0.00051519427,2022-11-23T23:59:21.340
239112924001181440,47.10445292474471,40.989583530071855,4.5733368,0.00048955116,2022-11-23T23:59:21.340
239112928291296128,47.105938871988904,40.990396746538586,3.6876292,0.00026823878,2022-11-23T23:59:21.340
239112928292492544,47.100142377735104,40.99987950819199,4.6149631,0.00050461173,2022-11-23T23:59:21.340
239112928292493056,47.092602521953616,40.98466526407342,5.6572706,0.0011368228,2022-11-23T23:59:21.340
239112928293299328,47.10312848237508,40.99064053550616,4.6433353,0.00051519427,2022-11-23T23:59:21.340
239112958355964160,47.10968487875273,41.00008221911182,3.3266711,0.00021476421,2022-11-23T23:59:21.340
239112958356824320,47.116323844626415,41.00039453475793,3.2507131,0.00020526107,2022-11-23T23:59:21.340
239112958360920832,47.1107023813244,40.99650541652942,3.3266508,0.0002147616,2022-11-23T23:59:21.340
239112958360921728,47.110752138333424,41.00209338294254,3.3266711,0.00021476421,2022-11-23T23:59:21.340
239112962651033472,47.109544202415044,41.00398283068452,3.3354721,0.00021590049,2022-11-23T23:59:21.340
239112962651033728,47.11583956398695,41.000696170366396,3.3266711,0.00021476421,2022-11-23T23:59:21.340
239112962652230784,47.11285577137087,41.00629858153778,3.3354721,0.00021590049,2022-11-23T23:59:21.340
239112962652231040,47.10798093712129,40.995337632623034,3.7276861,0.00027515311,2022-11-23T23:59:21.340
239112962653497856,47.11124842895367,41.00960258207496,3.3340226,0.00021571284,2022-11-23T23:59:21.340
239957417645847680,47.10726091012544,41.026582217194964,3.2253986,0.00020221095,2022-11-23T23:59:21.340
239957417645848192,47.11595551881972,41.03081228303575,3.4460522,0.00023083833,2022-11-23T23:59:21.340
239957417646249344,47.102718321803216,41.02262317842031,3.337012,0.00021610009,2022-11-23T23:59:21.340
239957452005574528,47.1243242274278,41.046998764829105,5.6824775,0.0011606719,2022-11-23T23:59:21.340
239957452005586944,47.1149803351829,41.03468407560754,3.58668,0.00025175182,2022-11-23T23:59:21.340
239957452005587712,47.11563203522128,41.04367357292894,3.6794415,0.00026685226,2022-11-23T23:59:21.340
239957486365325056,47.100159126657076,41.031028070137495,3.3727502,0.00022079751,2022-11-23T23:59:21.340
